ID	Symptom	Cause	Repair	time_to_resolve	n_watchers	n_comments	Priority	Project
AIRFLOW-217	Crash	Problems in settings	Modifying build files or options	22	1	1	Minor	AIRFLOW
AIRFLOW-43	Crash	Problems in operating systems	Modifying operating systems	27	6	11	Critical	AIRFLOW
AIRFLOW-436	Unexpected behavior	Problems in my clients	Modifying API calls	1368	3	3	Major	AIRFLOW
AIRFLOW-522	Crash	Problems in settings	Modifying build files or options	7	2	2	Major	AIRFLOW
AIRFLOW-884	Unexpected behavior	Flaky problems	Unfixed problems	144	2	2	Major	AIRFLOW
AMBARI-15971	Crash	Problems in settings	Modifying build files or options	704	2	2	Major	AMBARI
AMQ-5702	Crash	Problems in my clients	Modifying input formats	8911	3	3	Major	AMQ
AMQ-6162	Unexpected behavior	Borderline cases	Modifying my settings	625	3	7	Critical	AMQ
AMQ-6231	Unexpected behavior	Incorrect techniques	Switching to other techniques	216	3	2	Minor	AMQ
AMQ-6976	Performance issue	Problems in my libraries	Modifying the settings of libraries	1176	3	5	Critical	AMQ
ARROW-192	Build and testing error	Problems in settings	Modifying build files or options	54	2	6	Major	ARROW
ARROW-5539	Build and testing error	Flaky problems	Deleting temporary files	22	3	2	Major	ARROW
ARTEMIS-2132	Crash	Problems in my libraries + Problems in settings	Switching to older versions + Modifying my settings	6200	1	1	Major	ARTEMIS
ARTEMIS-2184	Crash	Incorrect techniques	Switching to other techniques	5105	2	1	Trivial	ARTEMIS
ASTERIXDB-1518	Build and testing error	Problems in settings	Modifying build files or options	6617	3	2	Major	ASTERIXDB
ASTERIXDB-1675	Crash	Problems in my clients	Modifying build files or options 	13	5	11	Blocker	ASTERIXDB
ASTERIXDB-1767	Errors in warning message	Problems in settings	Modifying my settings	2282	2	2	Major	ASTERIXDB
ATLAS-1057	Build and testing error	Unavailable resources	Modifying build files or options	18	3	5	Major	ATLAS
BEAM-1048	Unexpected behavior	Flawed repairs	Repairing as technical debts	3092	5	6	P2	BEAM
BEAM-2268	Crash	Problems in settings	Modifying my settings	3	2	3	P2	BEAM
BEAM-3525	Unexpected behavior	Problems in my clients	Modifying my settings	26	2	3	P3	BEAM
BEAM-6289	Crash	Problems in my libraries	Modifying the settings of libraries	328	4	13	P1	BEAM
BEAM-6460	Unexpected behavior	Problems in my libraries	Bypassing APIs with bugs	101	3	2	P0	BEAM
BROOKLYN-588	Build and testing error	Problems in operating systems	Modifying operating systems + Modifying documents 	260	2	7	Major	BROOKLYN
CAMEL-12367	Crash	Flawed repairs	Modifying the settings of libraries	94	3	7	Major	CAMEL
CAMEL-12668	Unexpected behavior	Flawed repairs	Modifying API calls	620	3	17	Major	CAMEL
CAMEL-13089	Crash	Problems in my clients	Switching to other libraries	51	4	10	Major	CAMEL
