ID	RQ1. Symptoms	RQ2. Causes	RQ3. Repairs
AIRFLOW-217	Crash	Problems in settings	Modifying build files or options
AIRFLOW-43	Crash	Problems in operating systems	Modifying operating systems
AIRFLOW-436	Unexpected behavior	Problems in my clients	Modifying API calls
AIRFLOW-522	Crash	Problems in settings	Modifying build files or options
AIRFLOW-884	Unexpected behavior	Flaky problems	Unfixed problems
AMBARI-15971	Crash	Problems in settings	Modifying build files or options
AMQ-5702	Crash	Problems in my clients	Modifying input formats
AMQ-6162	Unexpected behavior	Borderline cases	Modifying my settings
AMQ-6231	Unexpected behavior	Incorrect techniques	Switching to other techniques
AMQ-6976	Performance issue	Problems in my libraries	Modifying the settings of libraries
ARROW-192	Build and testing error	Problems in settings	Modifying build files or options
ARROW-5539	Build and testing error	Flaky problems	Deleting temporary files
ARTEMIS-2132	Crash	Problems in my libraries + Problems in settings	Switching to older versions + Modifying my settings
ARTEMIS-2184	Crash	Incorrect techniques	Switching to other techniques
ASTERIXDB-1518	Build and testing error	Problems in settings	Modifying build files or options
ASTERIXDB-1675	Crash	Problems in my clients	Modifying build files or options 
ASTERIXDB-1767	Errors in warning message	Problems in settings	Modifying my settings
ATLAS-1057	Build and testing error	Unavailable resources	Modifying build files or options
BEAM-1048	Unexpected behavior	Flawed repairs	Repairing as technical debts
BEAM-2268	Crash	Problems in settings	Modifying my settings
BEAM-3525	Unexpected behavior	Problems in my clients	Modifying my settings
BEAM-6289	Crash	Problems in my libraries	Modifying the settings of libraries
BEAM-6460	Unexpected behavior	Problems in my libraries	Bypassing APIs with bugs
BROOKLYN-588	Build and testing error	Problems in operating systems	Modifying operating systems + Modifying documents 
CAMEL-12367	Crash	Flawed repairs	Modifying the settings of libraries
CAMEL-12668	Unexpected behavior	Flawed repairs	Modifying API calls
CAMEL-13089	Crash	Problems in my clients	Switching to other libraries
CAMEL-9107	Crash	Problems in my libraries	Bypassing APIs with bugs
CAMEL-9463	Crash	Problems in my libraries	Switching to older versions
CASSANDRA-13212	Crash	Problems in my libraries	Modifying the settings of libraries
CAY-2147	Crash	Problems in settings	Modifying my settings
CB-10939	Unexpected behavior	Problems in settings	Modifying my settings
CB-10950	Crash	Problems in operating systems	Modifying API calls
CB-11449	Unexpected behavior	Problems in my libraries + Problems in operating systems	Switching to older versions
CB-11974	Unexpected behavior	Outside contributors	Repairing as technical debts
CB-12002	Unexpected behavior	Flawed repairs	Repairing as technical debts
CB-12037	Unexpected behavior	Problems in my libraries	Switching to other libraries
CB-12078	Build and testing error	Flawed repairs	Switching to other techniques
CB-12113	Unexpected behavior	Problems in my libraries	Switching to older versions
CB-12413	Unexpected behavior	Problems in settings	Modifying build files or options
CB-12688	Unexpected behavior	Flawed repairs	Modifying the settings of libraries
CB-13038	Unexpected behavior	Incorrect techniques	Switching to other techniques
CELIX-346	Crash	Fixed by related issues	Switching to other techniques
COMPRESS-449	Crash	Problems in languages	Implementing wrappers
COMPRESS-471	Unexpected behavior	Flawed repairs	Implementing wrappers
CTAKES-363	Crash	Problems in my clients	Repairing as technical debts
CTAKES-409	Unexpected behavior	Problems in my libraries	Deep copying
CTAKES-413	Crash	Incorrect techniques	Switching to other techniques
CXF-5773	Unexpected behavior	Problems in my libraries	Switching to other techniques + Modifying the settings of libraries 
CXF-6747	Unexpected behavior	Problems in my libraries	Switching to other libraries
CXF-6931	Crash	Problems in my libraries + Fixed by newer versions 	Switching to newer versions
CXF-7127	Unexpected behavior	Problems in my clients	Switching to other libraries + Modifying the settings of libraries 
CXF-7308	Unexpected behavior	Problems in my libraries	Modifying the settings of libraries
CXF-7685	Build and testing error	Problems in my clients	Modifying API calls
